,sampling_location,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,top_salinity_psu,top_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,light_trans_transparency_top_sample,top_sigma_t_kg_m3,top_fluorometer_mg_m3,top_sample_par_ue_s_m2,oxidation_reduction_potential_mv_top_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,top_fecal_coliform_bacteria_cells_100ml,top_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,top_ammonium_mg_l,top_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,total_phosphorus_mg_l,top_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,top_dissolved_organic_carbon_mg_l,long,lat,type,bottom_sample_temperature_c,bottom_salinity_psu,winkler_method_bottom_dissolved_oxygen_mg_l,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,bottom_sample_depth_ft,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_bottom_sample,bottom_sigma_t_kg_m3,bottom_fluorometer_mg_m3,bottom_ph,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,bottom_enterococci_bacteria_cells_100ml,bottom_total_suspended_solid_mg_l,sampling_comment,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,oxidation_reduction_potential_mv_bottom_sample,light_trans_transparency_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,duplicate_sample,bottom_sample_par_ue_s_ue_s_m2,bottom_silica_mg_l,top_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,top_coliform_log_no_ml,bottom_coliform_log_no_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,chlorophyll_top_sample_field_u_l_ysi,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_turbidity_nephelometric_turbidity_units,top_total_organic_carbon_mg_l,chlorophyll_bottom_sample_field_u_l_ysi,bottom_turbidity_ysi_nephelometric_turbidity_units,fecal_coliform_bottom_sample_less_than_or_greater_than_result,bottom_nitrate_nitrite_mg_l,bottom_ammonium_mg_l,bottom_ortho_phosphorus_mg_l,bottom_total_phosphorus_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,bottom_active_chlorophyll_a_g_l
55,H5,1984-10-03T00:00:00.000,9:25 AM,,17.2,,,25.2,,,,,,,,,,N,,,,5.9,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,17.8,25.4,6.8,13000,780,,,1.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,N4,2010-06-07T00:00:00.000,4:53 PM,Dry,21.66,46.0,3.0,18.34,2.77,4.57,57.84,,11.69,1.8002,,,1,N,10,W,1,9.59,3.0,7.99,45,,0.255,0.122,,0.562,0.696,0.086,9.6,7.4,3.0,-74.005833,40.7645,Permanent,18.31,25.48,7.42,,,,,,,44.0,3.48,6.51,80.61,17.93,1.8002,7.67,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,N7,1919-07-23T00:00:00.000,11:00 AM,,21.5,47.0,,22.4,,,,,,,,,,EB,,,,2.18,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,21,26.25,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,N3B,1979-06-27T00:00:00.000,12:27 PM,,20.6,,,14.4,,,,,,,,,,N,,,,5.6,,,,,,,,,,,,,,-73.965333,40.820833,Permanent,18.9,19.8,3.8,160000,17000,,,0.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,N3B,1979-06-27T00:00:00.000,12:27 PM,,20.6,,,14.4,,,,,,,,,,N,,,,5.6,,,,,,,,,,,,,,-73.965333,40.820833,Permanent,18.9,19.8,3.8,160000,17000,,,0.8,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,x1576_1911_DO,1911-09-26T00:00:00.000,6:32 PM,,20.0,,1.0,,,,,,,,,,,Ebb,,,,3.75,,,,,,,,,,,,,,-74.053333,40.605833,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,x1507_1911_DO,1911-09-26T00:00:00.000,10:39 AM,,20.0,,1.0,,,,,,,,,,,End of Flood,,,,4.9,,,,,,,,,,,,,,-74.042778,40.6075,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,N5,1941-07-03T00:00:00.000,,,22.8,49.0,,22.4,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,-74.03,40.7045,Permanent,22.2,25.9,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,E5,1987-02-03T00:00:00.000,11:07 AM,,2.0,,,,,,,,,,,,,E,,,,8.6,,,,,,,,,,,,,,-73.886111,40.800833,Permanent,2.3,,8.7,11000,4900,,,3.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,H5,1955-07-21T00:00:00.000,9:25 AM,,22.8,22.0,,28.7,,,,,,,,,,SW,,,,1.2,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,22.8,28.7,1.3,120,460,3.0,2.0,,,,,,,,,,,,,,,,0.037,0.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,N9,1922-06-15T00:00:00.000,1:15 PM,,19.4,20.0,,29.05,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,-73.983333,40.568333,Permanent,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,N3,1994-06-23T00:00:00.000,10:01 AM,,21.5,47.0,1.0,16.57,2.52,,,,10.4,,,,,N,,,,6.38,2.0,7.38,130,,0.38,0.33,0.082,,,0.14,27.0,3.7,,-73.954182,40.836396,Permanent,20.81,19.27,5.22,260,340,,,1.5,1.6,14.0,2.85,,,12.61,,7.38,59.0,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,E4,2013-06-03T00:00:00.000,2:48 PM,Wet,16.85,68.0,3.0,23.65,3.14,6.4,76.21,7.26,16.85,16.9298,757.09,,3.9,E,calm,,1,6.6,2.5,7.48,900,269,0.298,0.344,,0.737,1.26,0.189,14.0,2.69,3.4,-73.922,40.7825,Permanent,16.95,23.63,6.45,,,,,,,57.0,3.15,6.48,77.19,16.82,16.623,7.5,,,,,10.0,,,,,7.4,,,1035.1,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,N16,2015-03-17T00:00:00.000,10:56 AM,Dry,4.1,24.0,4.0,30.63,2.89,,,,24.3,0.9644,,,2.2,S,7,SSW,1,11.36,6.0,8.14,2,1,0.07,0.119,,0.46,0.079,0.043,5.0,12.0,1.75,-73.943667,40.529667,Permanent,3.94,31.67,11.59,,,,,,,28.0,2.97,,,25.14,3.0403,8.11,,<,,,6.0,,,,,,,,,,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,
69,H1,1960-07-27T00:00:00.000,12:35 PM,,22.2,20.0,,18.2,,,,,,,,,,S,,,,2.6,,,,,,,,,,,,,,-73.923884,40.878055,Permanent,22.2,18.2,2.8,1100,460,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,H2,1938-08-09T00:00:00.000,11:35 AM,,25.0,16.0,,8.4,,,,,,,,,,N,,,,3.55,,,,,,,,,,,,,,-73.91861,40.858609,Permanent,25,7,3.66,,,2.0,2.0,,,,,,,,,,,,,,,,14.0,39.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
71,N16,1962-08-16T00:00:00.000,10:30 AM,,21.1,24.0,,35.0,,,,,,,,,,E,,,,6.6,,,,,,,,,,,,,,-73.943667,40.529667,Permanent,21.1,33.95,6.7,2,2,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,J2,1970-07-02T00:00:00.000,12:30 PM,,21.1,,,27.1,,,,,,,,,,W,,,,6.2,,,,,,,,,,,,,,-73.885835,40.608055,Permanent,20.6,27.6,5.7,350000,160000,,,5.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,J7,2004-03-02T00:00:00.000,2:09 PM,Wet,4.96,27.0,5.0,24.4,2.41,,171.1,,19.31,,,,0.2,N,8,S,1,19.89,2.5,8.78,3,,0.502,0.226,0.038,2.02,0.37,0.212,38.4,143.4,3.67,-73.820833,40.645333,Permanent,3.6,25.7,19.49,,,,,,,25.0,2.44,,150.3,20.46,,8.72,,,,,12.0,,,,,,,,,,,,26.5,4.8,,,,48.0,18.6,16.76,27.8,4.7,,,,,,,,,,,,,,,
74,J5,1999-06-21T00:00:00.000,1:26 PM,,20.91,20.0,3.28,28.05,40.07,6.5,85.95,64.75,19.23,,,,,W,9,E,1,6.96,5.0,7.78,20,,0.135,0.137,,1.38,0.367,0.238,12.0,26.0,,-73.809,40.597667,Permanent,20.9,28.04,6.99,,,,,,,19.68,40.05,6.28,83.0,19.23,,7.78,6.0,,,,18.0,,,,,64.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,G2,2010-07-28T00:00:00.000,1:30 PM,Dry,24.75,28.0,3.0,24.96,3.9,8.38,116.77,61.38,15.84,64.7535,41.55,179.222,0.5,E,13,S,1,8.75,3.5,7.73,10,2,0.252,0.136,,1.053,0.534,0.164,7.8,46.2,3.3,-74.003333,40.666667,Permanent,22.35,26.61,5.1,,,,,,,27.0,3.94,4.1,55.13,17.76,14.2169,7.46,,,,,4.6,,,,182.104,64.45,7.99,7.6,931.01,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,X19,1935-08-09T00:00:00.000,11:50 AM,,22.8,,,28.7,,,,,,,,,,SE,,,,8.07,,,,,,,,,,,,,,-73.836097,40.648142,Permanent,22.2,30.1,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,K5A,1982-07-27T00:00:00.000,10:44 AM,,26.7,,,25.2,,,,,,,,,,S,,,,5.0,,,,,,,,,,,,,,-74.245833,40.4845,Permanent,24.4,27,5.4,7900,11000,,,3.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,K5A,1982-07-27T00:00:00.000,10:44 AM,,26.7,,,25.2,,,,,,,,,,S,,,,5.0,,,,,,,,,,,,,,-74.245833,40.4845,Permanent,24.4,27,5.4,7900,11000,,,3.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,K5A,2013-06-18T00:00:00.000,1:16 PM,Dry,19.25,25.0,3.0,18.24,2.62,5.49,66.32,15.17,12.21,16.2601,1087.7,,0.5,W,5,ESE,1,5.53,4.0,7.47,76,7,0.348,0.34,,0.884,2.35,0.12,16.0,7.22,4.3,-74.245833,40.4845,Permanent,18.2,21.74,5.36,,,,,,,19.0,3.0,5.13,62.03,15.1,14.6626,7.53,,,,,15.0,,,,,21.84,,,1154.7,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,
80,E7,1998-05-21T00:00:00.000,11:45 AM,,15.53,40.0,3.28,21.64,2.82,8.17,93.59,57.41,15.6,-99.0,4.4,,,E,8,W,1,8.19,4.0,7.91,20,,0.2,0.259,,1.11,0.904,0.118,11.0,25.9,,-73.8205,40.805,Permanent,13.52,23.59,7.64,,,,,,,36.08,2.91,,,17.48,-99.0,7.96,10.0,,,,10.0,,,,,64.39,,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,N8,1968-07-30T00:00:00.000,12:50 PM,,21.1,,,27.0,,,,,,,,,,N,,,,6.8,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,20.6,26.6,6.7,33000,79000,,,4.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,J11,2013-06-05T00:00:00.000,11:50 AM,Dry,16.49,18.0,3.0,29.0,3.75,8.15,99.46,15.74,21.03,20.8956,2645.2,,0.3,W,8,E,1,8.46,4.0,7.84,102,6,0.165,0.242,,0.921,1.0,0.091,8.0,6.78,3.3,-73.931333,40.581667,Permanent,15.16,29.31,8.09,,,,,,,15.0,3.67,7.93,94.42,21.56,21.3218,7.87,,,,,16.0,,,,,18.27,,,2736.7,,233.26,,,,,,,,,,,,,,,,,,,,,,,,,,
83,E8,2000-06-07T00:00:00.000,12:40 PM,Wet,15.81,88.0,3.3,23.34,30.34,1.46,,0.06,16.84,,,,,SE,9,N,1,6.88,6.0,7.06,,,,,,,,,,,,-73.783667,40.8005,Permanent,15.65,23.47,6.69,,,,,,,75.4,30.39,1.53,,16.97,,7.11,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,K5,2009-07-01T00:00:00.000,,Wet,,,,,,,,,,,,,,,,,,6.54,5.0,,20,8,0.396,0.268,0.099,1.4,1.65,0.146,18.6,15.1,3.7,-74.258833,40.508833,Permanent,,,5.49,,,,,,,,,,,,,,,E,,,38.0,,,,,,,,,D,,,,,,,E,,,,,,,,,,,,,,,,,,,,
85,LN1,2010-09-13T00:00:00.000,12:32 PM,Dry,20.82,7.5,3.0,25.9,3.72,5.42,70.73,79.21,17.62,13.8145,55.04,134.413,0.7,S,CALM,,1,5.65,5.5,7.3,424,8,0.43,0.224,0.161,2.09,3.81,0.215,5.2,7.2,2.7,-73.760833,40.778,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25,,1179.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,N4,1937-06-24T00:00:00.000,12:45 PM,,23.3,52.0,,12.25,,,,,,,,,,S,,,,3.83,,,,,,,,,,,,,,-74.005833,40.7645,Permanent,22.2,16.8,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,FLC1,2007-07-24T00:00:00.000,11:31 AM,Wet,21.09,17.0,4.0,20.83,3.07,1.92,24.37,,13.73,5.9808,101.33,70.045,0.1,E,2,N,1,2.22,1.0,7.07,4,5900,0.229,0.712,0.178,1.66,2.34,0.298,13.75,13.38,3.9,-73.836667,40.762167,Permanent,20.84,23.77,2.22,,,,,,,15.0,3.45,1.87,24.09,16.01,3.3772,7.07,,,,,8.75,,,,69.762,,,,1944.35,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,
88,E1,1961-08-30T00:00:00.000,11:05 AM,,25.6,41.0,,25.55,,,,,,,,,,N,,,,1.3,,,,,,,,,,,,,,-74.006548,40.7,Permanent,24.4,25.2,1.1,93,210,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,N5,2013-09-23T00:00:00.000,4:33 PM,Wet,19.72,46.0,3.0,23.04,3.27,6.4,80.19,12.21,15.74,19.0929,894.56,,2.2,S,3,N,1,5.84,3.0,7.65,60,4,0.461,0.352,,0.584,2.88,0.157,6.0,5.0,3.94,-74.03,40.7045,Permanent,18.82,26.78,5.84,,,,,,,42.0,3.67,6.34,80.0,18.8,20.3152,7.67,,E,,,8.0,,,,,7.12,,,928.56,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
90,H5,1970-07-13T00:00:00.000,9:10 AM,,20.6,,,26.2,,,,,,,,,,N,,,,3.7,,,,,,,,,,,,,,-73.935832,40.787777,Permanent,20.6,26.2,1.7,110000,49000,,,4.1,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,K5,1991-07-23T00:00:00.000,11:55 AM,,27.3,38.0,,25.4,,,,,,,,,,S,,,,4.6,4.0,,118,,0.41,0.65,0.14,,,0.22,12.0,11.3,,-74.258833,40.508833,Permanent,25.6,26.6,3.7,,,,,1.0,0.4,,,,,,,,155.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,H3,1969-07-02T00:00:00.000,1:35 AM,,22.2,,,10.3,,,,,,,,,,S,,,,4.0,,,,,,,,,,,,,,-73.933833,40.828,Permanent,22.2,10.3,4.9,9500,35000,,,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,F5,2016-09-01T00:00:00.000,9:32 AM,Dry,,16.0,,,,,,,,,,,0.3,SW,5.0,WSW,1,,,7.46,"9,400",6,0.174,0.379,0.238,1.25,1.8,0.371,19.0,25.2,3.45,-73.878964,40.638775,Permanent,,,,,,,,,,,,,,,,,,E,,,,No turbidity sensor,,,,,,,,,,,29.0,26.13,,,,37.7,4.87,,,,,,,,,,,,,,,,,,
94,x647_1909,1909-07-10T00:00:00.000,1:05 PM,,19.0,,1.0,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-73.99329,40.581686,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140000.0,,,,,,,,,,,,,,
95,K1,1991-06-13T00:00:00.000,11:04 AM,,,50.0,,,,,,,,,,,,E,,,,5.6,5.0,,200,,0.21,0.34,0.081,,,0.14,22.0,2.2,,-74.081945,40.651112,Permanent,,,6.1,1300,1300,,,0.9,1.1,,,,,,,,180.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,H4,1965-08-23T00:00:00.000,9:20 AM,,23.3,20.0,,24.15,,,,,,,,,,SW,,,,0.8,,,,,,,,,,,,,,-73.929168,40.803613,Permanent,22.8,25.9,1.2,330,230,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,NH,1991-05-21T00:00:00.000,9:30 AM,,15.5,73.0,,21.3,,,,,,,,,,S,,,,6.9,5.5,,,,,,,,,,,,,-74.038021,40.609818,Permanent,14.2,26.4,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,x384_1909,1909-05-12T00:00:00.000,3:43 PM,,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.03,40.700278,Permanent,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800.0,,,,,,,,,,,,,
99,N3A,1966-09-14T00:00:00.000,12:27 PM,,22.2,43.0,,22.4,,,,,,,,,,S,,,,3.7,,,,,,,,,,,,,,-73.992497,40.78333,Permanent,21.7,23.1,2.5,1700,490,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,x33_1909,1909-03-24T00:00:00.000,3:40 PM,,3.0,,1.0,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-74.043029,40.63348,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39400.0,,,,,,,,,,,,,,
101,E5,1967-08-07T00:00:00.000,11:35 AM,,21.7,66.0,,28.35,,,,,,,,,,N,,,,4.4,,,,,,,,,,,,,,-73.886111,40.800833,Permanent,21.7,28.35,2.8,1400,2400,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,K5,2013-08-13T00:00:00.000,1:35 PM,Wet,23.84,44.0,3.0,24.64,3.79,5.24,71.37,72.42,15.86,14.3753,224.62,,0.6,NE,calm,E,1,5.6,3.0,7.69,8,20,0.228,0.22,,1.073,2.09,0.154,14.0,16.7,3.9,-74.258833,40.508833,Permanent,23.31,25.57,4.57,,,,,,,41.0,3.87,3.04,41.29,16.72,10.385,7.65,,E,,,34.0,Brown Water.,,,,44.2,,,370.96,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,N1,1968-07-24T00:00:00.000,12:00 PM,,24.4,,,9.4,,,,,,,,,,S,,,,7.3,,,,,,,,,,,,,,-73.916167,40.9145,Permanent,24.4,11.8,6.0,3300,17000,,,4.5,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,x538_1909,1909-05-19T00:00:00.000,3:05 PM,,,,1.0,,,,,,,,,,,Ebb,,,,,,,,,,,,,,,,,,-74.168056,40.502778,Permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,,,,,,,,,,,,,,
105,H3,1990-07-11T00:00:00.000,,,23.2,,,12.1,,,,,,,,,,,,,,,,,,,0.22,0.32,0.069,,,0.14,,1.0,,-73.933833,40.828,Permanent,23.2,12.1,,4900,7900,,,1.8,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,TNQ,1971-08-09T00:00:00.000,11:15 AM,,21.7,,,24.0,,,,,,,,,,NE,,,,3.6,,,,,,,,,,,,,,-73.79204,40.79494,Permanent,21.7,24,2.3,1300,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,K2,1931-08-13T00:00:00.000,11:30 AM,,25.6,21.0,,20.65,,,,,,,,,,SL,,,,1.83,,,,,,,,,,,,,,-74.153,40.641167,Permanent,24.4,23.1,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,J3,1998-04-01T00:00:00.000,11:43 AM,,10.57,34.0,3.28,26.2,2.97,14.49,9.43,59.18,20.0,,5.4,,,N,8,S,1,14.95,4.0,8.37,,,0.062,0.093,,1.53,0.051,0.182,11.0,151.3,,-73.882833,40.627,Permanent,9.85,26.77,13.38,,,,,,,32.8,2.98,13.29,9.55,20.56,,8.27,,,,,14.0,,,,,58.25,,,5.25,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,
109,J12,2006-05-31T00:00:00.000,,Wet,,,,,,,,,,,,,,,,,,14.33,3.0,,221,2,0.149,0.17,0.064,1.27,0.482,0.236,14.75,106.4,4.42,-73.806455,40.633095,Permanent,,,9.22,,,,,,,,,,,,,,,,,,17.5,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,E14,2014-02-24T00:00:00.000,,Wet,,,,,,,,,,,,,,,,,,13.42,2.5,,2,4,0.11,0.155,,1.0,0.089,0.13,25.0,24.3,3.43,-73.8645,40.800833,Permanent,,,13.39,,,,,,,,,,,,,,,E,,,25.0,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,J11,2016-02-02T00:00:00.000,11:39 AM,Dry,5.26,20.0,3.0,29.15,2.9,,,,23.02,9.07,,,0.3,NNW,0.0,0.0,1,11.63,4.5,8.01,62,3,0.271,0.096,,0.384,0.853,0.06,16.0,23.8,1.7,-73.931333,40.581667,Permanent,5.30,29.59,11.52,,,,,,,16.0,2.9,,,23.36,10.03,8.02,,,,,15.0,Brownish water.,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
112,N9,1949-07-19T00:00:00.000,10:40 AM,,25.0,20.0,,28.7,,,,,,,,,,E,,,,3.7,,,,,,,,,,,,,,-73.983333,40.568333,Permanent,25,30.1,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,WC3,2014-01-09T00:00:00.000,9:44 AM,Dry,,10.0,,,,,,,,,,,1,S,0~5,NE,1,,,8.34,112,48,0.334,0.446,0.132,0.695,2.68,0.198,22.0,2.0,3.09,-73.843187,40.815067,Permanent,,,,,,,,,,,,,,,,,,,,,,No Turbidity probe.,,,,,,,,,,,24.68,-0.12,,,,1.58,11.59,,,,,,,,,,,,,,,,,,
114,x609_1911_DO,1911-07-27T00:00:00.000,9:57 AM,,,,,,,,,,,,,,,Flood,,,,,,,,,,,,,,,,,,-74.001389,40.7,Permanent,22,,3.29,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PB2,2011-08-03T00:00:00.000,1:08 PM,Dry,26.79,12.0,3.0,27.19,4.39,5.79,84.45,45.58,16.91,67.0651,108.18,242.834,0,N,0,NLY,1,5.59,5.5,7.65,340,4,0.09,0.224,0.183,0.339,1.16,0.954,8.0,40.4,3.8,-73.909667,40.628,Permanent,26.12,27.25,6.29,,,,,,,9.0,4.34,2.8,40.45,17.16,43.8558,7.69,,,,,12.0,,,,247.023,59.03,8.22,7.99,1856.4,,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,
116,E7,2014-06-23T00:00:00.000,11:50 AM,Dry,19.21,54.0,3.0,24.24,3.39,5.96,74.41,73.09,16.77,2.9341,3617.1,219.065,1.2,W,calm,,1,6.49,3.5,7.5,1,1,0.11,0.105,,0.4,0.93,0.138,8.0,8.3,2.5,-73.8205,40.805,Permanent,18.05,24.85,5.68,,,,,,,54.0,3.38,5.46,67.05,17.5,3.0003,7.49,,<,,,42.0,,,,218.527,55.86,,,2019.9,,0.0,0.942,,,,,<,,,,,,,,,,,,,,,,,,,,
117,N8,1966-07-26T00:00:00.000,12:50 PM,,23.3,90.0,,27.65,,,,,,,,,,N,,,,4.8,,,,,,,,,,,,,,-74.0455,40.606167,Permanent,23.3,29.05,4.9,1100,1100,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,N1,1998-05-19T00:00:00.000,12:31 PM,,17.85,49.0,3.28,1.89,0.31,8.65,92.22,29.99,0.07,-99.0,18.07,,,S,11,N,2,9.24,2.0,7.8,22,,0.45,0.05,,0.702,3.93,0.084,20.0,10.2,,-73.916167,40.9145,Permanent,15.05,10.63,7.63,,,,,,,39.36,1.45,7.17,76.06,7.26,-99.0,7.51,42.0,,,,31.0,,,,,16.72,,,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,J3,2016-08-03T00:00:00.000,1:28 PM,Dry,,,,,,,,,,,,,,,,,,4.83,3.5,,21,1,0.113,0.312,,0.654,1.898,0.274,5.0,18.7,3.3,-73.882833,40.627,Permanent,,,4.76,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,D,,1.838,,,,,,,,,,,,,,,,,,,,,,,,,
120,N7,1958-06-17T00:00:00.000,9:35 AM,,16.7,47.0,,24.85,,,,,,,,,,E,,,,5.8,,,,,,,,,,,,,,-74.053833,40.643833,Permanent,15.6,26.25,5.8,460,460,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
