,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,nourl,postcode,url,description,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsideloc,address2,outsidelocdesc
52,New York City Department of Transportation,N,N,Y,N,N,2124421908.0,2124427760.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Published,40 Worth Street,New York,N,10013.0,http://dot.nyc.gov,The primary function of the agency is to maintain the infrastructure of the city.,"{'latitude': '40.717363', 'longitude': '-74.006897'}",MANHATTAN,40.717363,-74.006897,1.0,1.0,33.0,1001622.0,1001480015.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,56.0,4.0,32.0,1.0,N,,
53,United Spinal Association - Vets First,N,N,N,Y,N,7188030414.0,7188033782.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Published,75-20 Astoria Boulevard,Jackson Heights,N,11370.0,http://www.vetsfirst.org,,"{'latitude': '40.765724', 'longitude': '-73.892382'}",QUEENS   ,40.765724,-73.892382,3.0,22.0,30904.0,4022646.0,4010270050.0,Jackson Heights                                                            ,14781.0,65.0,3.0,4.0,73.0,N,,
54,Teamsters National Black Caucus - NYS,Y,Y,Y,Y,N,,5167217844.0,N,Y,N,Y,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,Published,P. O. Box 340522,Rochdale Village,N,11434.0,http://www.gotnbc.com,"Consists of Teamster Women from the United States, Canada and Puerto Rico that share ideas and strategies for building solidarity, handling workplace issues, plus many others educational conferences with workshops to empower women.",,,,,,,,,,,,,,,,Y,,"Uniteds States, Canada and Puerto Rico"
55,"Kings Bay YM-YWHA, Inc.",Y,N,N,N,N,,7186487703.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,3495 Nostrand Avenue,Brooklyn,,11229.0,http://www.kingsbayy.org/,"Kings Bay YM-YWHA is a community center serving the Sheepshead Bay, Marine Park, Bergen Beach, Homecreast and Midwood neighborhoods of Brooklyn. The Kings Bay Y offers a wide range of brand new social, educational and cultural programming for individuals ","{'latitude': '40.598817', 'longitude': '-73.94157'}",BROOKLYN ,40.598817,-73.94157,15.0,46.0,570.0,3200300.0,3073630036.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,13512.0,32.0,2.0,8.0,36.0,,,
56,Bronx EOC,N,Y,N,N,N,7189011869.0,7185307008.0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1666 Bathgate Avenue  (172nd St - 173rd St),Bronx,N,10457.0,http://www.MySpace.com/BronxEO,"The Bronx Educational Opportunity Center is a free of cost educational institution of the State University of New York, established to educate and train youth and adults in the Bronx communities who qualify. The center offers continuing, remedial and vocational education in a life-long learning process, in order to develop a skilled workforce for the future. In and through the educational activities, the center is also a force and a catalyst for community revitalization and total development of the individual. 

Our Believes:
The Bronx EOC values dignity and self-respect in every individual in the community. We believes that the disadvantaged people in our communities have a right to self-determination and power through higher education and greater participation in the society.

List of free courses:
-English GED 
-Spanish GED 
-Vocational and Academic Preparation Lab 
-College Preparation 
-Executive Assistant
-Security Guard Registration 
-Emergency Medical Technician","{'latitude': '40.840948', 'longitude': '-73.900334'}",BRONX    ,40.840948,-73.900334,3.0,16.0,167.0,2086675.0,2029200002.0,Claremont-Bathgate                                                         ,10935.0,34.0,5.0,42.0,25.0,N,,
57,Sprout,N,N,Y,N,N,2122229768.0,2122229575.0,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,893 Amsterdam Ave.,New York,,,http://gosprout.org/002.html,Day and Evening Program,,,,,,,,,,,,,,,,,,
58,The Financial Clinic,Y,Y,Y,Y,N,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,115 W 30th St.,New York,N,10001.0,http://www.thefinancialclinic.org,"The Financial Clinic is a nonprofit financial development organization that helps working low income families caught in the wage gap â€“ those ""too rich"" for public assistance but ""too poor"" to be self-sufficient â€“ build financial security and improve financial mobility by providing legal support and financial coaching.","{'latitude': '40.747582', 'longitude': '-73.990324'}",MANHATTAN,40.747582,-73.990324,5.0,3.0,101.0,1015161.0,1008060026.0,Midtown-Midtown South                                                      ,11722.0,11.0,4.0,10.0,8.0,N,Suite 702,
59,Neighborhood Defender Service of Harlem,N,N,Y,N,N,,2128765500.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"317 Lenox Avenue, 10th Fl.",New York,N,10027.0,http://www.ndsny.org/,"The Neighborhood Defender Service of Harlem is a non-profit model public law office whose dedicated staff is committed to providing the highest quality legal representation to inner city residents in Upper Manhattan. We are known internationally as the lead innovator in community-based, client-centered public defense practice. We involve civil and criminal attorneys, social workers, investigators, paralegals, and college and law school interns in the aggressive defense of our clients. We are dedicated to our mission -- to make justice a reality for those farthest from its reach.","{'latitude': '40.808291', 'longitude': '-73.945122'}",MANHATTAN,40.808291,-73.945122,10.0,9.0,222.0,1085673.0,1019107501.0,Central Harlem South                                                       ,12424.0,18.0,4.0,36.0,18.0,N,,
60,"New York Counties Registered Nurses Association, Inc.",N,N,Y,N,N,,2126737110.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,"200 Park Ave. South, Suite 511",New York,,,,,,,,,,,,,,,,,,,,,,
61,Flatbush Development Corporation,Y,N,N,N,N,7188594632.0,7188593800.0,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1616 Newkirk Avenue,Brooklyn,N,11226.0,http://fdconline.org,"FDC is dedicated to meeting the needs of a diverse Flatbush community. 
FDC identifies and responds to these needs by creating programs, campaigns, and partnerships through economic development, housing, youth, immigration and other initiatives that promote enhanced quality of life, safety, and preservation of our neighborhood.","{'latitude': '40.63604', 'longitude': '-73.962241'}",BROOKLYN ,40.63604,-73.962241,14.0,40.0,518.0,3121203.0,3052370006.0,Flatbush                                                                   ,13510.0,60.0,2.0,11.0,43.0,N,,
62,Well Spouse Association,N,N,Y,N,N,7325778644.0,8008380879.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"63 West Main Street, Suite H",Freehold,,,http://www.wellspouse.org,"Today, the Well Spouse mission remains to provide emotional peer-to-peer support to the wives, husbands, and partners of the chronically ill and/or disabled. We offer this support through our various programs  and events. Our members can share their thoug",,,,,,,,,,,,,,,,,,
63,Thypin Oltchick Institute for Women's Entrepreneurship at FEGS,Y,Y,Y,Y,Y,2125241791.0,2123660033.0,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80 Vandam St, first floor",New York,N,10013.0,http://www.yourfutureinbusiness.org,"TOI, launched in May 2006 by an endowment to Fâ€¢Eâ€¢Gâ€¢S recommends professional resources to women of all ages who want to become entrepreneurs and small business owners. The Institute is unique - it is a matchmaker for entrepreneurs, introducing them to the most reliable experts and services for their business needs in the Greater New York Area. The Institute continually adds to its expansive network of partners who create individually tailored business development strategies for its clients.
TOI's resources are available to anyone who wants to own his/her own business but is not sure how to go about doing it. It is the starting place for New York area people who are asking themselves essential first step questions:
 	Is starting my own business right for me? 
 	How would I go about it? 
 	Am I picking the right business? 
 	What do I need to do first? 
 	Where do I get the correct permits and licenses? 
 	How do I finance? 
 	Should I have a mentor who knows my business or one with particular skills? 
 	How important is a website? 
 	How do I budget? 
 	What do I charge? 
 	How do I measure my business' potential and success? 
 	We offer quarterly panel discussions open to the public on these questions and more. 
Thypin Oltchick Institute Services
The Thypin Oltchick Institute for Women's Entrepreneurship @ Fâ€¢Eâ€¢Gâ€¢S is a program of Fâ€¢Eâ€¢Gâ€¢S Health and Human Services System. The Institute's services are offered at no charge. Programs generally include a panel of experts who discuss essential aspects of starting, maintaining, and growing a small business. In addition, our seminars also host representatives from many governmental, voluntary, and business organizations who are there to provide materials and consultation at no cost. Attendees can schedule future consultations. These partners include Federal, state and local government programs in addition to those of associations and other organizations geared to the entrepreneur.","{'latitude': '40.726623', 'longitude': '-74.007753'}",MANHATTAN,40.726623,-74.007753,2.0,3.0,37.0,1010362.0,1005970012.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,12076.0,57.0,4.0,10.0,1.0,Y,,Long Island
64,AID FOR AIDS International,N,N,Y,N,N,2123378045.0,2123378043.0,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Published,120 Wall St,New York,N,10005.0,http://www.aidforaids.org,"AID FOR AIDS International (AFAI) is a non-profit 501 (c) (3) organization committed to improving the quality of life of people living with HIV/AIDS (PLWHAs) in developing countries and who are immigrants to the United States of America. We work to empower PLWHAs, their caregivers, and the community at large by providing access to medications, health education, HIV prevention strategies and advocacy and by promoting leadership and capacity building for individuals and organizations.","{'latitude': '40.70438', 'longitude': '-74.006427'}",MANHATTAN,40.70438,-74.006427,1.0,1.0,7.0,1000871.0,1000370001.0,Battery Park City-Lower Manhattan                                          ,11726.0,56.0,4.0,32.0,1.0,Y,26th Floor,"Offices in Peru, Venezuela, The Dominican Republic, Panama, Mexico"
65,"Tolentine-Zeiser Community Life Center, Inc",N,Y,N,N,N,,7189333305.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2345 UNIVERSITY AVENUE,Bronx,,10468.0,http://www.tzclc.org/,,"{'latitude': '40.861503', 'longitude': '-73.906077'}",BRONX    ,40.861503,-73.906077,7.0,14.0,255.0,2118380.0,2032180035.0,Kingsbridge Heights                                                        ,11606.0,24.0,5.0,29.0,34.0,,,
66,Queens Borough Public Library (Central),N,N,N,Y,N,,7189900809.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,89-11 Merrick Boulevard,Jamaica,,11432.0,,,"{'latitude': '40.707865', 'longitude': '-73.795295'}",QUEENS   ,40.707865,-73.795295,12.0,27.0,460.0,4209635.0,4097980006.0,Jamaica                                                                    ,24340.0,41.0,3.0,6.0,61.0,,,
67,St. Mary's Hospital for Children,N,N,N,N,N,7186317874.0,7182818750.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,29-01 216th St.,Bayside,,,http://www.stmaryskids.org/ps_tbi-coma.html,Traumatic Brain Injury/Coma Recovery,,,,,,,,,,,,,,,,,,
68,"New York City Office of the Public Advocate, Betsy Gotbaum",Y,Y,Y,Y,Y,,2126697250.0,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Published,1 Centre Street,New York,N,10007.0,http://www.pubadvocate.nyc.gov,"The Public Advocate answers complaints about people's problems with city government, investigates agencies and programs, proposes solutions that make government more efficient, and helps communities gain better access to government.  She has successfully advocated for improved reproductive health services, prenatal care services, and general health services for women.  The Public Advocate has also worked to improve gender equity in schools and supported measures to increase access to city contracts for women-owned businesses.","{'latitude': '40.713001', 'longitude': '-74.004181'}",MANHATTAN,40.713001,-74.004181,1.0,1.0,29.0,1001394.0,1001210001.0,Chinatown                                                                  ,11728.0,56.0,4.0,32.0,2.0,N,15th Floor,
69,"Jewish Community Center of Staten Island, Inc.",N,N,N,N,Y,,7184755200.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,1466 Manor Road,Staten Island,,10314.0,http://www.sijcc.org/,,"{'latitude': '40.594454', 'longitude': '-74.125677'}",STATEN IS,40.594454,-74.125677,2.0,50.0,181.0,5141743.0,5009550100.0,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,10693.0,30.0,1.0,14.0,76.0,,,
70,Municipal Art Society of New York,N,N,Y,N,N,2127531816.0,2129353960.0,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,457 Madison Avenue,New York,,,http://www.mas.org/,"MAS fights for intelligent urban design, planning and preservation through education, dialogue and advocacy.",,,,,,,,,,,,,,,,,,
71,NYC Children's Services,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Published,,New York,N,,http://www.nyc.gov/html/acs/html/home/home.shtml,"The New York City Administration for Children's Services protects New York City's children from abuse and neglect. Along with our community partners, Children's Services provides neighborhood-based services to help ensure children grow up in safe, permanent homes with strong families.",,,,,,,,,,,,,,,,N,,
72,Queens Intergroup of Alcoholics Anonymous,N,N,N,Y,N,,7185205021.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,105-29B Metropolitan Ave. (entrance 62nd Road),Forest Hills,,,http://www.queensaa.org,,,,,,,,,,,,,,,,,,,
73,New York Asian Women's Center,Y,Y,Y,Y,Y,,8888887702.0,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Published,,New York,N,,http://www.nyawc.org,"The largest Asian American domestic violence organization in the nation, for over 25 years the New York Asian Women's Center (NYAWC) has helped women overcome violence and govern their own lives, free of abuse. The Center also raises public awareness about domestic violence and urges equality and opportunity for all women.",,,,,,,,,,,,,,,,N,,
74,Men Can Stop Rape,Y,Y,Y,Y,Y,,9144503118.0,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,,New York,N,,http://www.mencanstoprape.org,"Men Can Stop Rape (MCSR) is an international organization that mobilizes men to use their strength for creating cultures free from violence, especially menâ€™s violence against women.

MCSR provides agencies, schools, and organizations with direct services for youth, public service messaging, and leadership training.",,,,,,,,,,,,,,,,Y,,Washington DC
75,"Round-The-Clock Nursery, Inc.",N,Y,Y,N,N,2126940713.0,2126940615.0,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,301B W. 130th Street,New York,N,10027.0,http://www.roudntheclocknursery.org,"Who We Are: RCN is a 501 c (3) corporation, located in the Fordham section of the Bronx and with two sites in Harlem, NY.  Founded in 1996, by Executive Director Gail J. Davis, Round-The-Clock Nursery provides 24-hour/7 days-per-week childcare and was the first (and to this day), the only such institution in one of the most economically-disadvantaged communities in New York City. RCN is an educationally-focused, safe learning environment that enables parents with traditional or non-traditional work and/or educational schedules to pursue their goals. In addition, we provide emergency back-up services when parentâ€™s regular childcare arrangements fail. 
RCN is accrdited by the NAEYC (National Association of the Education for Young Children) 
The Need for RCN.  RCNâ€™s â€œparent-centeredâ€ child care services are urgently needed because existing child care services do not meet the needs of a significant segment of New York Cityâ€™s workforce. RCN was developed to address this service delivery gap. Our motto is â€œNo matter the time, we help grow strong mindsâ€. 

RCNâ€™s Mission Statement: Every child has the capacity to learn; every child has a right to a quality education; the learning process is a collaborative effort that requires the partnership of the child, the parent, and the educator and; children will excel academically in a nurturing, challenging, and interesting environment where their teachers have high expectations of them.","{'latitude': '40.813442', 'longitude': '-73.948979'}",MANHATTAN,40.813442,-73.948979,10.0,9.0,215.0,1084087.0,1019580001.0,Central Harlem North-Polo Grounds                                          ,12424.0,18.0,4.0,36.0,20.0,N,,
76,Planned Parenthood Federation of America,N,N,Y,N,N,,2125417800.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,434 West 33rd St,New York,,10001.0,http://www.plannedparenthood.org/,,"{'latitude': '40.753212', 'longitude': '-73.997979'}",MANHATTAN,40.753212,-73.997979,4.0,3.0,103.0,1012841.0,1007297501.0,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,11722.0,12.0,4.0,10.0,6.0,,,
77,Women of Color Quilters Network,Y,N,N,N,N,2122629470.0,2123165394.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,113 Rogers Ave,Brooklyn,,11225.0,http://www.wcqn-newyork.org/home.htm,"Women of Color Quilters Network, New York Chapter Inc. is a professional, not-for-profit organization located in Brooklyn, New York.  Born from its national root, the Network has been in existence since 1985.  Our founder, Dr. Carolyn L. Mazloomi an accla","{'latitude': '40.673769', 'longitude': '-73.952907'}",BROOKLYN ,40.673769,-73.952907,8.0,36.0,31701.0,3031187.0,3012330002.0,Crown Heights North                                                        ,17618.0,16.0,2.0,49.0,49.0,,,
78,NYC Department for the Aging,Y,Y,Y,Y,Y,,2126399675.0,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,Published,,New York,N,,http://nyc.gov/html/dfta/html/home/home.shtml,"If you are a New Yorker, 60 and over, important areas of your life could well be enhanced by options offered through the Department for the Aging. 

There are choices that help toward more independence and challenges for greater productivity.  For example, you may be eligible for exemption from a rent increase; you may need a home-delivered meal or home care services; or you may seek employment that is rewarding.

You may want to volunteer your services to others, join a local senior center, or participate in a Department event.

Or maybe you just need solid answers to some vital questions from a reliable source.

The Department for the Aging's Web site lists programs and services tailored to a variety of specific needs that many of the 1.3 million older New Yorkers may want now or in the future.",,,,,,,,,,,,,,,,N,,
