,organizationname,brooklyn,bronx,manhattan,queens,staten_island,fax,phone,aging,anti_discrimination_human_rights,arts_culture,business,child_care_parent_information,community_service_volunteerism,counseling_support_groups,disabilities,domestic_violence,education,employment_job_training,health,homelessness,housing,immigration,legal_services,lesbian_gay_bisexual_and_or_transgender,personal_finance_financial_education,professional_association,veterans_military_families,victim_services,youth_services,faith_based_organization,foundation,is_registered_with_the_attorney_general_s_office,new_york_city_agency,none_of_the_above,nonprofit,other_government_organization,published,address1,city,url,nourl,description,outsideloc,location_1,borough,latitude,longitude,community_board,community_council,census_tract,bin,bbl,nta,address2,postcode,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,outsidelocdesc
60,Korean American Senior Center of Corona,N,N,N,Y,N,7184786055.0,7186519220.0,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,37-06 111 Street,Corona,http://www.kcsny.org,N,,,"{'latitude': '40.753941', 'longitude': '-73.857264'}",QUEENS   ,40.753941,-73.857264,3.0,21.0,401.0,4430244.0,4017780027.0,North Corona                                                               ,,11368.0,14510.0,65.0,3.0,21.0,73.0,
61,"Council of Neighborhood Organizations, Inc.",Y,N,N,N,N,,7188530100.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,3911 Fort Hamilton Parkway,Brooklyn,,,,,"{'latitude': '40.643053', 'longitude': '-73.990649'}",BROOKLYN ,40.643053,-73.990649,12.0,39.0,224.0,3135280.0,3055850006.0,Borough Park                                                               ,,11218.0,17620.0,2.0,2.0,27.0,39.0,
62,New York Society for the Deaf,N,N,Y,N,N,,2123660049.0,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"315 Hudson St., 4th Floor",New York,,,Outpatient Mental Health Clinic,,,,,,,,,,,,,,,,,,,
63,Family Violence Hotline,N,N,Y,N,N,2124818157.0,7182371337.0,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,120 W 57th St,New York,http://www.jbfcs.org,N,"The Jewish Board of Family and Childrenâ€™s Services (JBFCS) has been a trailblazer in treating social problems for more than 110 years. Today, JBFCS is one of the nationâ€™s largest and most respected nonprofit mental health and social service agencies.

JBFCS serves over 65,000 New Yorkers annually from all religious, ethnic, and economic backgrounds through a comprehensive range of 185 community-based programs, residential facilities, and day-treatment centers. 

Our work is built upon the professionalism of 2,200 employees, including professional social workers, licensed psychologists, and psychiatrists, as well as a cadre of clinical support personnel in continuing day treatment and residential treatment centers. A corps of 2,000 dedicated volunteers work with our staff to help ease the burdens that strain and disrupt lives.",N,"{'latitude': '40.764688', 'longitude': '-73.978095'}",MANHATTAN,40.764688,-73.978095,5.0,4.0,137.0,1023460.0,1010090044.0,Midtown-Midtown South                                                      ,,10019.0,12081.0,11.0,4.0,51.0,10.0,
64,"Catholic Charities Community Service, Archdiocese of N Y",N,N,Y,N,N,,2123711000.0,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"1011 First Avenue, 6th fl.",New York,,N,"Catholic Charities helps solve the problems of New Yorkers in need - non-Catholics and Catholics alike. The neglected child, the homeless family, and the hungry senior are among those for whom we provide help and create hope. We rebuild lives and touch almost every human need promptly, locally, day in and day out, always with compassion and dignity. We help your neighbors as you would like to be helped if your family were in need.",N,"{'latitude': '40.757271', 'longitude': '-73.963692'}",MANHATTAN,40.757271,-73.963692,6.0,5.0,108.0,1039972.0,1013480023.0,Turtle Bay-East Midtown                                                    ,,10022.0,12419.0,71.0,4.0,1.0,9.0,
65,"Aging In America, Inc.",N,Y,N,N,N,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1500 Pelham Parkway South,Bronx,,N,"Our Title V program is to assist seniors 55 and older to
train then, and place them in
part time meaningful employment in the Private sector",N,"{'latitude': '40.857026', 'longitude': '-73.843125'}",BRONX    ,40.857026,-73.843125,11.0,13.0,296.0,2047109.0,2042220005.0,Pelham Parkway                                                             ,TITLE V program for 55 & over,10461.0,11270.0,59.0,5.0,12.0,32.0,
66,North General Hospital,N,N,Y,N,N,,2124234796.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,1879 Madison Ave.,New York,http://www.northgeneral.org/index.html,,"North General Hospital is committed to quality in health care delivery, the provision of primary, secondary and select tertiary care services, the creation of a broader health care delivery system and the promotion of health and health related education. ",,,,,,,,,,,,,,,,,,,
67,UJA-Federation of New York,N,N,Y,N,N,2128887538.0,2129801000.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,130 E 59 Street,New York,http://www.ujafedny.org/,N,,Y,,,,,,,,,,,,,,,,,,"Long Island, Westchester, Great Neck"
68,Women's Therapy Centre Institute,N,N,Y,N,N,2127215554.0,2127217005.0,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"562 West End Ave., Suite 1A",New York,http://www.wtci-nyc.org/,,,,,,,,,,,,,,,,,,,,,
69,Girl Scouts of the USA,N,N,Y,N,N,2128526509.0,2128528000.0,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,420 Fifth Ave.,New York,,,,,,,,,,,,,,,,,,,,,,
70,New York AIDS Coalition,N,N,Y,N,N,2126298403.0,2126293075.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"231 West 29 Street, #1002",New York,http://www.nyaidscoalition.org,,,,,,,,,,,,,,,,,,,,,
71,Forest Hills Volunteer Ambulance Corps,N,N,N,Y,N,,7187932055.0,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,Po Box 750617,Forest Hills,http://fhvac.org/index.php,,,,,,,,,,,,,,,,,,,,,
72,Child Care Action Campaign,N,N,Y,N,N,2122686515.0,2122390138.0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"330 Seventh Ave., 14th Fl.",New York,,,,,,,,,,,,,,,,,,,,,,
73,Presbyterian Senior Services,N,N,Y,N,N,,2128746633.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,New York,,N,,N,,,,,,,,,,,,10023.0,,,,,,
74,Mayer-Avedon Women's Support Group,N,N,Y,N,N,,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,New York,http://www.thebody.com/bp/july98/avedon.html,N,,,,,,,,,,,,,,,,,,,,
75,Women's Army Corps Veterans Association,N,N,N,Y,N,,7186340353.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Published,"121-16 Ocean Promedade, #3H",Rockaway Park,,,,,,,,,,,,,,,,,,,,,,
76,Queens Historical Society,N,N,N,Y,N,7185399885.0,7189390647.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,143-35 37th Avenue,Flushing,http://www.queenshistoricalsociety.org,,,,,,,,,,,,,,,,,,,,,
77,Families and Work Institute,N,N,Y,N,N,2124658637.0,2124652044.0,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"267 Fifth Avenue, 2nd Fl.",New York,,,,,,,,,,,,,,,,,,,,,,
78,Rosedale Senior Citizens Club,N,N,N,Y,N,,7185258899.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"135-01 Brookeville Blvd.,",Rosedale,,N,,,,,,,,,,,,,,11422.0,,,,,,
79,Hetrick-Martin Institute,N,N,Y,N,N,2126748650.0,2126742400.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,"2 Astor Pl., 3rd Fl.",New York,http://www.hmi.org,,,,,,,,,,,,,,,,,,,,,
80,East Harlem Tutorial Program,N,N,Y,N,N,2122897967.0,2128310650.0,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,2050 Second Avenue,New York,http://www.ehtp.org/,N,"The EHTP participants engage in a variety of inter-related activities, all of which are focused on literacy and operate within a youth development framework. These activities include:
Homework Help: This service is available daily for all participants, K-12, over-aged and under-credited participants. 
Small-group Study with Academic Specialists: Our certified teachers provide targeted support in reading, writing, math, science and global studies. We also provide remedial work for those who have begun college in the area and have requested our help. 
Arts and Culture Activities: These comprise dance, drama and poetry, photography, video/filmmaking and music recording. Middle- and high-school participants are recruited by FUEGO en la 106, our resident dance company, where they discover the world of dancing while learning about different cultures, the rigors of performing, teamwork and self-discipline. 
Creative Writing and Reading: By keeping weekly journals, participating in book clubs, engaging in scriptwriting and carrying out interviews, among other things, participants can learn new and interesting ways to express themselves on the page. 
Technology Access and Education: These activities promote computer, web-design and networking skills as well as general computer literacy. 
Science and Innovation: Featuring our award-winning FIRST Robotics Team (which, despite being East Harlem's first robotics team ever, managed to beat proven powerhouses like Stuyvesant HS and Bronx HS of Science to Nationals) and its middle school component, Lego Robotics. We are pleased to have just been included in the InvenTeam competition out of MIT. 
College and Career Preparation: We offer test prep, college tours, career exploration, SAT prep and Regents prep. 
Youth Development Activities: These provide young participants with much needed skills in conflict resolution, community activism, volunteering, youth governance, teamwork, time management and decision making. 
One-to-One Tutoring: Personalized tutoring remains a mainstay of our programming with weekly sessions, 11/2 hours per week. 
Recreation and Sports: These activities include basketball, table tennis and supervised park visits. 
Family Literacy Programming: Springing from a direct need voiced by the parents themselves, this service began this year with our first-ever ESL classes. We were thrilled to have advanced 26 parents from the first session. 
University Program: EHTP's University Program offers high-school students the opportunity to work with licensed teachers so that they can prepare for Regent exams and improve their chances to accumulate credits. Working hand in hand with staff members, they will identify college or career options and fulfill the necessary requirements to become competitive applicants for their school or career of choice. EHTP-UP also provides an off-site ""boot camp"" for 30 rising high-school freshmen and sophomores.",N,,,,,,,,,,,,10471.0,,,,,,
81,Workers Awaaz,N,N,N,Y,N,7185650836.0,7185650801.0,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,,Jackson Heights,,N,,,,,,,,,,,,,P.O. Box 471,11372.0,,,,,,
82,Chai Lifeline,N,N,Y,N,N,,8772424543.0,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,151 West 30th Street,New York,http://www.chailifeline.org,,,,,,,,,,,,,,,,,,,,,
83,Asthma/Emphysema Self-Help Group,N,N,Y,N,N,,2127770486.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"172 East 4th Street, Suite 11th Floor",New York,,,,,,,,,,,,,,,,,,,,,,
84,National Multiple Sclerosis Society,N,N,Y,N,N,,2124637787.0,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"733 Third Avenue, 3rd Floor",New York,http://www.nationalmssociety.org/NYN,,The New York City Chapter of the National MS Society is committed to helping the thousands of New Yorkers impacted by MS continue moving their lives forward. The chapter raises funds locally to support the Society’s critical research initiatives and to pr,,,,,,,,,,,,,,,,,,,
85,"Morningside Center for Teaching Social Responsibility, Inc.",N,N,Y,N,N,,2128703318.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"475 Riverside Drive, Ste. 550",New York,,,"MORNINGSIDE CENTER for Teaching Social Responsibility works in public schools and communities to help teachers, students, and parents build skills, knowledge and community. Through our programs, people learn to solve conflicts nonviolently, challenge bias",,"{'latitude': '40.811101', 'longitude': '-73.964168'}",MANHATTAN,40.811101,-73.964168,9.0,7.0,205.0,1059835.0,1019910001.0,Morningside Heights                                                        ,,10115.0,10097.0,37.0,4.0,23.0,17.0,
86,Pride Senior Network,N,N,Y,N,N,6463366685.0,2126751936.0,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"132 W. 22nd Street, 4th Floor",New York,,,,,,,,,,,,,,,,,,,,,,
87,Philippine Forum,N,N,Y,N,N,,2127416806.0,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"122 West 27th Street, 10th Floor",New York,http://www.geocities.com/philippineforum,N,,N,,,,,,,,,,,,,,,,,,
88,Queens County Mental Health Society,N,N,N,Y,N,7184644081.0,7184642552.0,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"80-45 Winchester Boulevard, CB49",Queens Village,,,,,,,,,,,,,,,,,,,,,,
89,Hope for New York,N,N,Y,N,N,,2128084460.0,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"1359 Broadway, Suite 410",New York,http://www.hfny.org,,,,,,,,,,,,,,,,,,,,,
90,"Woodside On The Move, Inc.",N,N,N,Y,N,,7184768449.0,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,39-42 59th Street,Woodside,,,,,"{'latitude': '40.7463', 'longitude': '-73.905092'}",QUEENS   ,40.7463,-73.905092,2.0,26.0,259.0,4000000.0,4012290059.0,Woodside                                                                   ,,11377.0,14787.0,53.0,3.0,33.0,66.0,
91,Carroll Gardens Neighborhood Women,Y,N,N,N,N,7186243475.0,7186243475.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,294 Smith St.,Brooklyn,,,,,,,,,,,,,,,,,,,,,,
92,Latin Media and Entertainment Commission,Y,Y,Y,Y,Y,,2126399675.0,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/lmec/html/home/home.shtml,N,The Commission advises the Mayor on business development and retention strategies for the Latin media and entertainment industry.,N,,,,,,,,,,,,,,,,,,
93,"Growth and Development Services, Inc",N,N,Y,N,N,,2127407040.0,N,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,216 Ft. Washington Avenue,New York,,,,,"{'latitude': '40.842571', 'longitude': '-73.942097'}",MANHATTAN,40.842571,-73.942097,12.0,10.0,251.0,1063381.0,1021380079.0,Washington Heights South                                                   ,,10032.0,13090.0,47.0,4.0,39.0,21.0,
94,NYC Children's Services,Y,Y,Y,Y,Y,,2126399675.0,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Published,,New York,http://www.nyc.gov/html/acs/html/home/home.shtml,N,"The New York City Administration for Children's Services protects New York City's children from abuse and neglect. Along with our community partners, Children's Services provides neighborhood-based services to help ensure children grow up in safe, permanent homes with strong families.",N,,,,,,,,,,,,,,,,,,
95,Bergen Basin Community Development Corp.,Y,N,N,N,N,,7184440101.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,2303 Bergen Avenue,Brooklyn,,,,,"{'latitude': '40.618831', 'longitude': '-73.899992'}",BROOKLYN ,40.618831,-73.899992,18.0,46.0,706.0,3398499.0,3084701350.0,Georgetown-Marine Park-Bergen Beach-Mill Basin                             ,,11234.0,13825.0,5.0,2.0,8.0,38.0,
96,Center for NuLeadership on Urban Solutions,Y,N,N,N,N,7182705181.0,7182705136.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Published,"1637 Bedford Avenue, SPSS 220-32","BROOKLYN,  NEW YORK",http://mec.cuny.edu,N,"The Center for Nuleadership on Urban Solutions (CNuLUS) is an inter-disciplinary forum for scholars, advocates, policy makers, law enforcement professionals, criminal justice practitioners and civil society leaders working on urban contemporary criminal, economic and social justice issues. The Center is dedicated to creating new approaches for solving the myriad of urban problems and challenges as they relate to communities most impacted by crime and the criminal justice system. It seeks to produce research that reveals the sometimes impractical and costly methods that are used within and among the various disciplines that currently comprise our criminal justice system and develop new and effective community specific models for achieving and maintaining public health and safety.",N,"{'latitude': '40.66673', 'longitude': '-73.956485'}",BROOKLYN ,40.66673,-73.956485,9.0,35.0,323.0,3033796.0,3012880001.0,Crown Heights South                                                        ,,11225.0,13509.0,17.0,2.0,48.0,44.0,
97,English Language Center at LaGuardia Community College,N,N,N,Y,N,7186092004.0,7184825360.0,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,31-10 Thomson Avenue,Long Island City,http://esl.lagcc.cuny.edu,N,"The English Language Center offers several programs in English as a Second Language:  a Day Intensive Program (20 hours/week), a Night Intensive Program (10 hours/week), and a part-time Non-Intensive Program (5 hours/week).  Levels are beginning, intermediate, and advanced. The Center also has programs in Office and Computer Skills for ESL students.",N,"{'latitude': '40.744902', 'longitude': '-73.935022'}",QUEENS   ,40.744902,-73.935022,2.0,26.0,179.0,4003534.0,4002780001.0,Hunters Point-Sunnyside-West Maspeth                                       ,,11101.0,16858.0,53.0,3.0,33.0,66.0,
98,Puerto Rican Institute for the Development of Education(PRIDE),N,N,N,Y,N,7183591417.0,7183094841.0,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,138-15 Franklin Ave. Suite 610,Flushing,,Y,"The corporation is organized exclusively for the charitable, educational literary and cultural purposes of promoting a positive cultural identity among Puerto Ricans/Latinos by preserving culture, history and legacy through educational and cultural activities. The coporation will sponsor lectures, conferences, art exhibits, workshops, seminars and publications on Puerto Rican and other Latino history and culture organizational seminars, cultural exhibits and conferences.  Also . collaborating with educational and other non-profit organizations with similar or related purposes. In connection with the scope of activities shall include accepting donations, contributions , holding conferences and seminars, organizing cultural concerts and festivals, organizaing arts and cultural exhibits , books fair, books presentaations insuring the multicultural and ethnic relevancy in publications.Every year the organization organizes activities to celebrate special dates such as: An activity during the Puerto Rican Culture Month, An activity celebrating Women Histoy Month, Three kings Day Celebration, An activity for Human Rights Day.",N,"{'latitude': '40.754994', 'longitude': '-73.825964'}",QUEENS   ,40.754994,-73.825964,7.0,20.0,853.0,4115789.0,4051350044.0,Flushing                                                                   ,"P.O.Box 520032, Flushing, New York 11355",11355.0,14190.0,22.0,3.0,3.0,67.0,
99,"St. Matthews & St. Timothys Neighborhood Center, Inc.",N,N,Y,N,N,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,26 West 84th Street,New York,,N,,,"{'latitude': '40.784358', 'longitude': '-73.971224'}",MANHATTAN,40.784358,-73.971224,7.0,6.0,169.0,1081040.0,1011970046.0,Upper West Side                                                            ,,10024.0,12421.0,20.0,4.0,19.0,12.0,
100,Steinway Child and Family Services,N,N,N,Y,N,7183919665.0,7183895100.0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Published,41-36 27th Street,Long Island City,http://www.steinway.org,N,"Case Management, Advocacy, Prevention & Education",,"{'latitude': '40.751329', 'longitude': '-73.938791'}",QUEENS   ,40.751329,-73.938791,1.0,26.0,33.0,4005006.0,4004150004.0,Queensbridge-Ravenswood-Long Island City                                   ,,11101.0,16858.0,39.0,3.0,33.0,72.0,
101,Just Food,N,N,Y,N,N,2126459881.0,2126459880.0,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,"208 East 51st Street, 4th floor",New York,http://www.justfood.org,N,"Just Food is a non-profit organization that works to develop a just and sustainable food system in the New York City region. We do this by fostering new marketing and food-growing opportunities that address the needs of regional, rural family farms, NYC community gardeners, and NYC communities.",N,"{'latitude': '40.756249', 'longitude': '-73.969853'}",MANHATTAN,40.756249,-73.969853,6.0,4.0,98.0,1081183.0,1013240001.0,Turtle Bay-East Midtown                                                    ,,10022.0,12419.0,71.0,4.0,51.0,9.0,
102,Central Brooklyn Economic Development Corporation,Y,N,N,N,N,,7184984513.0,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,444 Thomas S. Boyland Street,Brooklyn,,,,,"{'latitude': '40.670104', 'longitude': '-73.913812'}",BROOKLYN ,40.670104,-73.913812,16.0,41.0,902.0,3080726.0,3034960004.0,Brownsville                                                                ,,11212.0,17614.0,55.0,2.0,17.0,46.0,
103,Flushing Community Volunteer Ambulance Corps.,N,N,N,Y,N,,7183834965.0,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Published,43-14 162nd St.,Flushing,http://www.freewebs.com/fcvac/,,,,,,,,,,,,,,,,,,,,,
